forecast_timestamp,team,group,spi,global_o,global_d,sim_wins,sim_ties,sim_losses,sim_goal_diff,goals_scored,goals_against,group_1,group_2,group_3,group_4,make_round_of_16,make_quarters,make_semis,make_final,win_league,timestamp
2018-07-15 16:54:57 UTC,France,C,88.61576,2.91664,0.49784,2.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2018-07-15 16:55:47 UTC
2018-07-15 16:54:57 UTC,Croatia,D,83.34118,2.59601,0.62251,3.0,0.0,0.0,6.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2018-07-15 16:55:47 UTC
2018-07-15 16:54:57 UTC,Belgium,G,87.26948,2.96791,0.60825,3.0,0.0,0.0,7.0,9.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2018-07-15 16:55:47 UTC
2018-07-15 16:54:57 UTC,England,G,83.10212,2.38282,0.51034,2.0,0.0,1.0,5.0,8.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2018-07-15 16:55:47 UTC
2018-07-15 16:54:57 UTC,Uruguay,A,81.18939,2.25649,0.52707,3.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018-07-15 16:55:47 UTC
2018-07-15 16:54:57 UTC,Brazil,E,93.1084,3.10193,0.2804,2.0,1.0,0.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018-07-15 16:55:47 UTC
2018-07-15 16:54:57 UTC,Sweden,F,75.76274,2.06218,0.64691,2.0,0.0,1.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018-07-15 16:55:47 UTC
2018-07-15 16:54:57 UTC,Russia,A,70.58438,2.00904,0.83511,2.0,0.0,1.0,4.0,8.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018-07-15 16:55:47 UTC
2018-07-15 16:54:57 UTC,Colombia,H,80.29336,2.14353,0.49931,2.0,0.0,1.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018-07-15 16:55:47 UTC
2018-07-15 16:54:57 UTC,Spain,B,91.10171,3.29915,0.51801,1.0,2.0,0.0,1.0,6.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018-07-15 16:55:47 UTC
2018-07-15 16:54:57 UTC,Mexico,F,74.31375,2.12156,0.75196,2.0,0.0,1.0,-1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018-07-15 16:55:47 UTC
2018-07-15 16:54:57 UTC,Denmark,C,73.16825,1.95926,0.68722,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018-07-15 16:55:47 UTC
2018-07-15 16:54:57 UTC,Portugal,B,82.51076,2.42963,0.56694,1.0,2.0,0.0,1.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018-07-15 16:55:47 UTC
